IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
5310,7763,2001,999912,ET,129,129,NG,NA,CT,Surface,6,05120204_IN,05120204_IN,-85.504,39.953
5311,7764,2000,999912,ET,302.5,351,NG,NA,CT,Surface,14,03070101_GA,03070101_GA,-83.695,33.812
5312,7766,1999,999912,ET,20,20,OL,NA,CT,Surface,7,11070103_KS,11070103_KS,-95.517,37.333
5313,7767,1999,999912,ET,9,9,OL,NA,CT,Surface,20,15010008_UT,15010008_UT,-113.505,37.136
5314,7768,1999,999912,ET,97,97,NG,NA,CT,Groundwater,14,03130008_GA,03130008_GA,-84.08,31.387
5315,7770,2000,999912,ET,3,3.5,NG,NA,CT,Surface,5,07090005_IL,07090005_IL,-89.073,41.933
5316,7771,2011,999912,WN,3,3,NN,NA,NN,Unknown,9,07100005_NE,07100005_NE,-93.777,42.826
5317,7774,2000,999912,ET,10.8,10.8,OL,NA,CT,Surface,4,04110003_OH,04110003_OH,-81.648,41.531
5318,7775,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05080001_OH,05080001_OH,-84.477,40.225
5320,7775,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05080001_OH,05080001_OH,-84.477,40.225
5322,7775,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05080001_OH,05080001_OH,-84.477,40.225
5324,7776,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100009_OH,04100009_OH,-84.109,41.408
5326,7776,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100009_OH,04100009_OH,-84.109,41.408
5328,7776,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100009_OH,04100009_OH,-84.109,41.408
5330,7777,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.498,40.541
5332,7777,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.498,40.541
5334,7777,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.498,40.541
5336,7777,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.498,40.541
5338,7777,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.498,40.541
5340,7777,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.498,40.541
5342,7778,1999,999912,ET,5.4,5.4,OL,NA,CT,Surface,4,05040001_OH,05040001_OH,-81.759,40.86
5343,7779,1999,999912,ET,10.8,10.8,OL,NA,CT,Surface,4,04100006_OH,04100006_OH,-84.527,41.461
5344,7780,1999,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,05080001_OH,05080001_OH,-84.04,40.459
5346,7781,1999,999912,ET,1.8,1.8,OL,NA,CT,Surface,4,05080001_OH,05080001_OH,-84.551,39.987
